,HPG,VGC,HT1,FPT,BCM,CTD,GEX,VHL,CII,L10,VRC,KLB,VRE,DIG,VPD,HBC,VPS,DGC,VJC,STB,FCN,PNJ,NAB,PGB,ACB,NKG,GMD,HDB,VIP,MPC,VID,TCH,DPM,VHC,NLG,PLX,KDH,LGL,VNM,VOS,PDR,MWG,PHR,QCG,SBT,VND,TCB,HSG,LCG,HCM,VIB,KDC,SAB,EIB,NVL,HQC,SSI,VIC,TDC,SHB,DXG,REE,BID,VCB,CTS,MSB,PC1,VHM,VPB,GAS,TPB,DRC,HDC,CTG,OCB,BMI,LPB,ASM,KBC,CMG,VGG,MBB,IDC,POW,BCG,HNG,VCI,TLG,HAG,HVN,MSN,ITA,SZC,PAN,IJC,SCR,HU1,DHG,DPP,SDA
HPG,1.0,0.47401802196197884,0.3316005327279052,0.4013136406449836,0.33353073890222323,0.4117261834341915,0.34992523221594407,-0.1319665432028067,0.39818800643384555,0.10987157381975828,-0.019383387391796163,0.03312270425436071,0.26326688108749946,0.45110703337218144,0.15660156652731014,0.45405556818817605,0.09247999436359317,0.2635416325282121,0.11552913768176605,0.5096755769524391,0.4899879963364402,0.40749274909639965,0.5651108433402885,-0.2471814727554444,0.7028373158093099,0.7450672924202475,0.35584203770507467,0.5512946867001011,0.3481000868374295,0.2792215865213626,-0.019186757649247963,0.48747172053968085,0.27692980229832276,0.45630667617189735,0.5192875131450597,0.1589299392370072,0.5009368795763435,0.25541097072601904,0.4735459514840165,0.32956299828512714,0.4793649446641209,0.5499703999653118,0.42942050009319405,0.11540455944389919,0.2967210559414235,0.5657300797997293,0.5826871227486244,0.7781168418508372,0.5258597327806149,0.5672020571653428,0.6620308060818975,0.06628516940598721,0.3801355760388918,0.5184054670836574,0.3037382804418089,0.48192099353745976,0.6210804452127197,0.0071973437488842195,0.38552540898535326,0.5471520323243158,0.5061843348547027,0.41436647860526676,0.4258682040601649,0.5050432165818568,0.5620415108614029,0.5794546158336833,0.3544648735789607,0.13790528549272352,0.6138432542545232,0.05761141996752716,0.6515549454491674,0.40950261154656936,0.45030855813449805,0.565529634379801,0.6869552216713167,0.3595827466510067,0.33114550579372565,0.6309391134245932,0.49455988312126975,0.384027890651853,-0.053118615880447785,0.6520106556159853,0.4273407570314149,0.26587819026607923,0.021580362364132546,0.4532666766042089,0.5160142838762254,0.37651814351913265,0.4463187799018614,0.5075841316690438,0.5289167211607003,0.054855328132335984,0.5267177633488659,0.4077759383860353,0.5561559700727966,0.5104694754158287,0.040170046756088304,0.41019157391576866,-0.037721570897483,-0.0017447692682433515
VGC,0.47401802196197884,1.0,0.43077797199722384,0.2738785925113319,0.5553208390365781,0.39304356092066356,0.46633697870271285,0.1127206057330489,0.47258756121379364,0.00851892515613559,-0.029132461657014507,0.17156914014659894,0.20866522242818902,0.474416289970507,0.20791150362213234,0.48489507303910157,0.12079937721585093,0.32582406577906753,0.05066287429676707,0.27233509786372434,0.4938761613259791,0.31817181523032284,0.3272575752711847,0.12729441521005028,0.4808998169026506,0.5409231643124977,0.3710433197512628,0.32868526665090214,0.44255516807687256,0.31997947628923634,-0.11073351832226111,0.45823484958342653,0.2515061156222679,0.4962837856425971,0.4331813222765902,0.25693194172605,0.3966611390164521,0.16249485916701412,0.32755852923603346,0.4296960427565537,0.44288849705506383,0.4501122847675934,0.5551430407918029,0.11923970804179747,0.32603612104339497,0.4867959742508893,0.5095205899955217,0.5552319347801494,0.5372014411071108,0.4962086009906001,0.5390335045784644,0.11781196848910439,0.2900856311897614,0.5517391092945286,0.38027001723388354,0.5207328981694304,0.43075976432967505,0.10996982363893719,0.4360491116352151,0.4457408240517021,0.4263955792100426,0.39448602812400346,0.39483433622366554,0.3995798754231355,0.5038343257160446,0.4387638797524924,0.4576591623023657,0.164788778390064,0.47987606615608486,0.20448573987841334,0.5386176785896877,0.5696618918922842,0.4867635256806185,0.5199789925805932,0.4555041382812199,0.5007603171158467,0.21220372901785833,0.5727671480220999,0.6832898503966278,0.4187710387242071,-0.04960835084825425,0.4815967067545866,0.6015601263614848,0.5089836983750636,0.10239175831330326,0.16575970032686108,0.40719388509077004,0.34173981904306927,0.4077953903446819,0.4711738775456704,0.5241743079300667,0.011264490922705487,0.7696417611152326,0.3232341875869632,0.6109518713125371,0.5108370704771409,0.03703274324775348,0.34191371597762565,0.03252400075429027,-0.05138095020269415
HT1,0.3316005327279052,0.43077797199722384,1.0,0.20762799917525343,0.32231715434029834,0.27173889759060194,0.24481236537113665,0.06829869677439841,0.253557014635289,0.0985558442698189,0.05287700518642542,0.054022441557665085,0.21363922440459018,0.22143841654414856,0.17673696906695255,0.2809608669781544,0.052971140200660495,0.28517313464912214,0.14331386229114987,0.13671936621626612,0.35149886167736377,0.22106232603472328,0.1917398522583303,0.1768530738152233,0.3280056328574124,0.3865774382670673,0.27796820600009947,0.3241205135254649,0.42442776480865996,0.2159469265398486,-0.09089274491287981,0.2497103430469457,0.2898801134153833,0.36415623071695324,0.18449998400577897,0.2503983906114195,0.1997356468168824,0.04268494335642872,0.12460004025619711,0.41111248172736076,0.20702933903180765,0.2808461826948879,0.3686898043801601,-0.027802930575041275,0.2620478692666739,0.3783947655628396,0.38234986614658173,0.3464221513202358,0.4039961537865008,0.3258064469284789,0.3567484701776524,-0.040598006443247375,0.14026626924875818,0.35233452228742307,0.09409456993656913,0.23414959663691826,0.4038428642791192,0.13778063787573616,0.21402942816831957,0.2892246499056928,0.2586414251851532,0.2893714115597214,0.14333932097657928,0.14829902505167641,0.41533388838929325,0.2997333897512715,0.3053917293229382,0.12890479875872646,0.34397492960584475,0.1497649233426348,0.3484432966255913,0.46553640025650883,0.268115299890976,0.27699261302889694,0.3151014716926266,0.35025617694018363,0.07842307277448952,0.3658480055211735,0.46119802125006154,0.35262343120290296,-0.110391492425654,0.36046714494211035,0.3151806108515497,0.3696848554101089,0.06418583225540196,0.06706874710734295,0.30786289034219105,0.24219536733341654,0.33619233662864506,0.3383905672938309,0.3051137283868329,0.2366340735977526,0.3923785712986227,0.23325500959874562,0.2941183658968498,0.2313620317616199,0.04646331152093118,0.3546860185897175,-0.057428389406392846,0.09731527013223225
FPT,0.4013136406449836,0.2738785925113319,0.20762799917525343,1.0,0.33703231362986474,0.3611924029728907,0.18577406907072705,0.01996054073710114,0.15620919221487767,-0.019750602875722917,-0.047400473157262694,0.28311694065170556,0.2210936097760851,0.23929552425360878,0.1504778318800772,0.4002606319994177,-0.05072608399668003,0.20614999669516215,0.06172518348912001,0.1882786430394863,0.22354813758054565,0.4106210746407125,0.38369871343194617,-0.19398203780875756,0.47568385248965583,0.3417144646570171,0.35125788430793403,0.2350726973311504,0.1924209224735122,0.27104089937059556,-0.016825255581280844,0.3062632124438293,0.11391735915678913,0.36016406472450074,0.3490527553661812,0.12865344345283475,0.2712140705087374,0.16656675358427322,0.21985910017578825,0.1604490528317598,0.2478258482931364,0.48063658462497233,0.2363803235371955,0.16451580023755616,0.27126144605347924,0.26155608528808677,0.3447214666774994,0.3177278987851324,0.30365243201029385,0.332036293288402,0.4344280728583954,0.10480621149827292,0.3605433555053504,0.2669758835151996,0.16935051193288533,0.37495247155654887,0.27614684610607887,0.20470707332143465,0.1599384298507249,0.20274075024758437,0.2939821222324016,0.2948881600948975,0.3727625768196638,0.4415450060113541,0.2642879504004978,0.34268458993410156,0.2842997496058351,0.24466294231504435,0.32297505509240765,0.15774113387125893,0.34453511907628065,0.29107666952993727,0.21293598736144378,0.4201231396193632,0.3737112772032719,0.2944681435086767,0.2668673818067545,0.34648305109232974,0.3581608100841516,0.5549098265188521,-0.0751504590474237,0.3508615933250043,0.3967694907994255,0.18478292900864182,0.0003188816498000875,0.4107187416432513,0.2275752142739361,0.2258751389268316,0.2518549202301747,0.38932259764456917,0.3126712454516962,-0.05793310182069925,0.25710671142263447,0.23103039320261604,0.30945863528834494,0.26002638400979405,-0.026819375105267468,0.4364058069271472,-0.09615460362802644,-0.014562924707637844
BCM,0.33353073890222323,0.5553208390365781,0.32231715434029834,0.33703231362986474,1.0,0.2813613944640861,0.2979497340216172,0.015293934625542646,0.24567348125002988,-0.001348274847584889,-0.02695256952545067,0.196155442532209,0.15688301661842557,0.26316529666691085,0.16420095873521917,0.32866905922647793,0.10549768434120918,0.2894056671867246,0.05505510578450744,0.1219387392632627,0.27556607409769995,0.29134816904517336,0.34569713206242797,-0.01907503748475625,0.3840604825049921,0.3859350834360438,0.4595799580704601,0.24991421435206523,0.35789740484011295,0.30743339940438524,-0.09136066642642468,0.20912175714150677,0.16613808079366738,0.4521280038687987,0.317234272153008,0.4039587474604877,0.2356632976287483,0.13221935957633277,0.44176116052646325,0.34111453471484404,0.26336491250382865,0.3418033646235906,0.5523436166028388,0.18556541496574042,0.2283027503588637,0.29435502575118155,0.316114269005732,0.43170760171801514,0.3507428726645932,0.38053278515659744,0.39188316630549413,0.08740068868616614,0.34805972022205367,0.29607490177119977,0.21162330522739728,0.3879898129963384,0.33220360122191606,0.11412173159990885,0.3188081683742166,0.34636632827913777,0.2653494815169664,0.28084356805908367,0.39848495461179345,0.4147022272316376,0.3737788995754032,0.38589100475429855,0.46329611981576824,0.15991010660553398,0.2926030722989608,0.23792909528096548,0.4594615599012979,0.38148958643067066,0.2733744195966634,0.4630701862227487,0.41025982642847336,0.4464482376757503,0.17899754100058288,0.42287541959612407,0.5775970920292851,0.5890200171072891,0.019943101086213815,0.3867094393621892,0.5239554067247449,0.4304187295692246,0.11544783447425805,0.16554281762969134,0.2447264149231042,0.2506031912447528,0.2811367459172017,0.5318978713306809,0.36262374961328875,-0.036601699475956866,0.563960312898348,0.34379468558192755,0.47858163826744415,0.2998076459488768,-0.001956924457766568,0.33558137041636227,-0.05750808240862975,0.026337598513336627
CTD,0.4117261834341915,0.39304356092066356,0.27173889759060194,0.3611924029728907,0.2813613944640861,1.0,0.2969810252387312,0.11817655726012995,0.28948104584749307,0.04971853489518393,-0.002250370441780648,0.008327996515495381,0.2007759281333001,0.2955420023940954,-0.005992231202818134,0.4661767073503331,0.02732039968378225,0.24279077640484006,0.220335221299336,0.33925924650890005,0.3972048788466346,0.45077966777516254,0.323427206308964,-0.003933764905317327,0.3986871758175984,0.3818713421139625,0.34327242387624657,0.3894439893872831,0.37792388262464643,0.30685981349233526,0.08877524908893777,0.3493868973813443,0.22238689452691304,0.4180498063017377,0.4357288628402234,0.13688418579721862,0.433430642713049,0.21903446516261738,0.28027788140618315,0.3142533069629501,0.3325484798872412,0.4360437062880062,0.38918562751475544,0.0774215326841876,0.19490869656231025,0.33311328487860203,0.39834492062133997,0.3606440636507915,0.4771343612198129,0.3424996710693577,0.41444753826973774,0.1558979451032519,0.3019747063581861,0.40184527532048325,0.30337603130630697,0.4026894300579905,0.36367060808332824,0.14352233756653343,0.30818704849980044,0.4147259731626161,0.3585789115240398,0.45046224397129525,0.36478291414839314,0.377448298318423,0.34329875113869296,0.3912117194928038,0.29042941759154983,0.18396205886720085,0.43480584602204014,0.10263190856588399,0.4099753187665732,0.40187846086004314,0.2927364681247087,0.3892007330516291,0.5142323070490729,0.2919955285214495,0.28237086024513525,0.47578301011413543,0.3302348887598844,0.37498490404485135,-0.000180443776578994,0.3944841488656705,0.35416119004438684,0.35763324098907007,-0.08158123004856724,0.313615911970063,0.30219117241857585,0.3688446160255187,0.38507188446326196,0.34452894942485485,0.3029481273123882,-0.040887217561676806,0.5077816605092217,0.31047212138782915,0.35631822741784785,0.33249215821798705,0.017757962723511694,0.4096674091543376,-0.00036505127153815977,-0.005551403745298642
GEX,0.34992523221594407,0.46633697870271285,0.24481236537113665,0.18577406907072705,0.2979497340216172,0.2969810252387312,1.0,0.052741438769866665,0.5828683270225512,0.07705084137633862,-0.08994077527567779,0.04967632362578482,0.45547085557019906,0.541545761555561,0.08183687676145988,0.2744280678649107,0.23047636179397096,0.11191162089367175,0.292293770024531,0.3233534353560681,0.4043589682428466,0.2186699147535114,0.25784736161678534,0.05340848251888293,0.38937342075208736,0.5155342137319348,0.4357417278084595,0.5010424211009451,0.24912680902315623,0.18092305020957042,-0.20470380847346523,0.5108090120654848,0.10647837313710669,0.1626077355274558,0.4007709352309561,0.0542205314546851,0.53379394734649,0.16749128165987304,0.15166385855398815,0.23373614614600716,0.5738391747011357,0.44927245778952335,0.28378402699631206,0.15887186157302194,0.1451313650123163,0.617123992264065,0.48954272704879126,0.48254233574777733,0.4987031727342621,0.4891661117770728,0.5786565986884032,0.07446857252709756,0.16825849132504045,0.7086580589590804,0.35276916027180694,0.4439592788241675,0.526554056311268,0.31584562719738146,0.3240814798589735,0.4380319195887063,0.5212915200807227,0.2624192039030447,0.1858680886687472,0.2258005363902132,0.5747979088880014,0.5111748805610229,0.45770325266544654,0.34092756594382817,0.6414143785881611,0.02439855097270149,0.6079678363813483,0.2894129701546037,0.5744818264005053,0.31861332903030304,0.4923880045572679,0.3336262267121884,0.3031032367196754,0.4269310812108413,0.48415867495505704,0.21212234583766235,0.017828046516892807,0.42174594551729566,0.3018111717174538,0.2608578644013108,-0.11433929714978187,0.1622589209617717,0.4457232241970106,0.18454869476824964,0.4058303781286548,0.3542006551509509,0.440801072605881,-0.049570985132438114,0.4038393170749511,0.15339755700731164,0.4730844965198853,0.5251317987507172,0.05438157777124383,0.22201386168290912,0.09983397405921962,0.017301039829637165
VHL,-0.1319665432028067,0.1127206057330489,0.06829869677439841,0.01996054073710114,0.015293934625542646,0.11817655726012995,0.052741438769866665,1.0,0.11430779566728558,0.20168985164056782,-0.07958817667695205,-0.039440483080264266,-0.11485095015010081,0.0010073055503507433,0.07395825497686108,0.09083057827597456,0.05852492045944168,0.10803181209328153,-0.0706036783880945,-0.015662898567936,-0.05368060614391784,-0.14121890073573776,0.055388125915219855,0.1949103572762234,-0.06024957288797013,-0.022361978731140725,-0.00796188870358984,-0.1239353550213971,-0.029601517604304455,0.006763601269014074,-0.178037746713522,0.08664410014621188,0.026761998093151572,-0.03579591774172913,-0.02710080085315143,-0.13504408807397433,-0.008987542030921827,0.017637658091833205,-0.08313544532325606,-0.06920984733302692,0.03371588969944864,-0.0943095179637921,-0.134421516627796,0.06352040619455444,0.01564377950325221,0.037759167034931644,-0.05305056461437789,0.027482013261065544,-0.015218227559096081,-0.17574998442578135,-0.041452073465714105,-0.009679570498079534,-0.010501120371061318,0.0049032011204176405,0.029735250974560545,0.022833103091832237,-0.10615891591189504,-0.03506720603396197,-0.0974298050504344,-0.08374495946458206,-0.04620699211787115,-0.06790973230085418,-0.03587301504717998,0.012887273719924586,-0.0809409200473423,-0.00729191128203571,-0.021406124577049084,-0.03655038534673404,0.024387798213469272,-0.014837965466541106,-0.006859870170031606,0.01651912554759368,0.09074758691777209,-0.000709776804227484,-0.035082908309537995,-0.0029689840690638354,0.03283493107174103,-0.031194961044598825,-0.049426599924897924,-0.025359043213072988,0.019069869520151612,-0.0659135390362248,-0.015563623592878289,0.1435943944090088,0.024042663323196038,0.012821383885489236,-0.14399666832661237,0.015583296828627982,-0.047326153782267004,0.04505108130263167,-0.02914125857374931,-0.060811796798406426,-0.061231913899302375,-0.1090904379534697,0.018506454743436682,-0.025885437855632222,0.19068196736969933,0.1176466823066478,0.13753225647805403,0.017062880979596223
CII,0.39818800643384555,0.47258756121379364,0.253557014635289,0.15620919221487767,0.24567348125002988,0.28948104584749307,0.5828683270225512,0.11430779566728558,1.0,0.08194648289935597,-0.1410775211892496,0.11501027155284142,0.3807594743050669,0.8044268166045847,0.0411605722666702,0.42087440881099686,0.17134840050394173,0.23157743413819135,0.18737163480354,0.34742392861764304,0.6081831722891505,0.1766170288257536,0.30603813625445186,0.11071620370870756,0.40757764489725007,0.5446899829648971,0.29245460236155096,0.4173429094209853,0.19986526562143703,0.2519118134338723,-0.026947439414915487,0.7279006020950424,0.2423329647106964,0.25552690894299335,0.653650614336789,0.012261262986435678,0.6452861316554089,0.12552718399726362,0.25224638275096245,0.2371282630677512,0.7961083391486077,0.47258792746871037,0.2399852750741165,0.20290844234087274,0.25942648022759074,0.5823435670972952,0.5471761890136985,0.5572165874957796,0.6353006896674788,0.4772001014270883,0.5435746973330254,-0.05080527256110569,0.20925933663680263,0.5786170000238632,0.6517198036349593,0.6239338242171952,0.48338326710280155,0.23600047130570947,0.3819430509982111,0.4849442817210474,0.7187067751506601,0.29746360612212486,0.13686479097179458,0.1400166222817158,0.5837259791433655,0.44119664963199323,0.42696487172889985,0.2850779006683831,0.5589828228136351,-0.012073314607246947,0.5177085683187347,0.2164403545523455,0.8077152660215933,0.3531768812879863,0.46833331757110713,0.26098205946607694,0.20114480740520693,0.468309308612314,0.499487828355343,0.22709273128323854,-0.0701496522977367,0.41774138785655546,0.29233895378062824,0.24267292677198238,-0.09432648457141993,0.23997843528392884,0.42576014119722844,0.25075556810246824,0.4554287346645967,0.39667404365882675,0.464178809653949,-0.04186529638859252,0.44283501168438427,0.08780071838230978,0.6564447787009856,0.6636667536765676,0.09879586053593617,0.23697442447560993,0.039805731967064786,-0.023409518481289283
L10,0.10987157381975828,0.00851892515613559,0.0985558442698189,-0.019750602875722917,-0.001348274847584889,0.04971853489518393,0.07705084137633862,0.20168985164056782,0.08194648289935597,1.0,0.05230417041944355,-0.027583613514909646,0.22311898268615374,0.07147976587867035,-0.007098603403538729,-0.0057622091326963885,0.05711394249517676,-0.05483399031168684,-0.026039560493788878,0.0019454376876216154,0.047913148227185884,0.13576158535104227,0.08930256647918801,0.151076913790136,0.04901051959506519,0.1499243898099249,0.034723062528855146,0.16671892746705805,-0.03391028637502798,0.07659285417995346,-0.07370801264495865,0.1234065889551128,-0.01715751936957382,-0.11058466098361498,0.040737486942467815,-0.04717943190840642,0.10053004965389747,0.08177428443945607,-0.06313024809051121,-0.008790305441338334,0.03585136543938907,0.08614180366442545,0.020312957900430306,-0.15774430425927888,0.09033144949350982,0.1944888322100398,0.07168572491568868,0.15151698702524155,0.06580699148303105,-0.033373159371111086,0.14398451154007225,0.008550527315779348,-0.07563171515307465,0.0543677972189603,0.055113954632993574,-0.026918525459819587,0.0798891074961583,0.06974349305677618,-0.08940523371846107,0.11860081484901845,0.09169603909618688,0.05106703996865165,-0.1444142202781546,-0.06638854143795571,-0.03123060500746895,0.14082936575544996,0.03282377478380492,0.15810958704798117,0.07536393683370948,-0.020992211920237976,0.08185642322050841,0.033091707298687614,0.07458326033985524,0.011215409950149826,0.034297033406217585,0.081636512135076,0.004718805394965513,-0.015310957327406269,0.06347733244846644,0.01880523777737807,-0.1357500503464433,0.08022609708442878,0.05590288207795832,-0.0254925674445078,0.08053735679439773,0.01643735496481447,0.07314534781105435,0.05738538929355064,0.09420505361585825,-0.021998949035258845,0.010782950269532436,-0.1129649213097709,0.02950337738035687,0.004399900722767122,-0.004060140967579274,0.047432190452685354,0.06253984801875388,0.10318022990241571,-0.02144220731343242,-0.09436618627931985
